"Entity","Code","Year","GDPpc"
"Cuba","CUB",2002,4369.0405
"Cuba","CUB",2003,4506.676
"Cuba","CUB",2004,4561.0166
"Cuba","CUB",2005,4713.7065
"Cuba","CUB",2006,5416.141
"Cuba","CUB",2007,5635.6885
"Cuba","CUB",2008,6004.894
"Cuba","CUB",2009,6248.304
"Cuba","CUB",2010,6578.1904
"Cuba","CUB",2011,6928
"Cuba","CUB",2012,7138
"Cuba","CUB",2013,7379
"Cuba","CUB",2014,7628
"Cuba","CUB",2015,7889
"Cuba","CUB",2016,7928.05
"Cuba","CUB",2017,8075.465
"Cuba","CUB",2018,8262.988
"Cuba","CUB",2019,8257.785
"Hungary","HUN",1979,9964
"Hungary","HUN",1980,10052
"Hungary","HUN",1981,10123
"Hungary","HUN",1982,10493
"Hungary","HUN",1983,10401
"Hungary","HUN",1984,10696
"Hungary","HUN",1985,10452
"Hungary","HUN",1986,10678
"Hungary","HUN",1987,10861
"Hungary","HUN",1988,11207
"Hungary","HUN",1989,11003
"Hungary","HUN",1990,10296
"Hungary","HUN",1991,9255.909
"Hungary","HUN",1992,9153.921
"Hungary","HUN",1993,9294.464
"Hungary","HUN",1994,9772.224
"Hungary","HUN",1995,10134.834
"Hungary","HUN",1996,10359.182
"Hungary","HUN",1997,10942.326
"Hungary","HUN",1998,11663.028
"Hungary","HUN",1999,12316.724
"Hungary","HUN",2000,13129.273
"Hungary","HUN",2001,13933.562
"Hungary","HUN",2002,14899.307
"Hungary","HUN",2003,15829.9
"Hungary","HUN",2004,16999.006
"Hungary","HUN",2005,18140.617
"Hungary","HUN",2006,19253.062
"Hungary","HUN",2007,19763.791
"Hungary","HUN",2008,20380.63
"Hungary","HUN",2009,19461.07
"Hungary","HUN",2010,20036.334
"Hungary","HUN",2011,20886
"Hungary","HUN",2012,20731.67
"Hungary","HUN",2013,21163.564
"Hungary","HUN",2014,22118.75
"Hungary","HUN",2015,22993.375
"Hungary","HUN",2016,23568.926
"Hungary","HUN",2017,24641.197
"Hungary","HUN",2018,25995.51
"Hungary","HUN",2019,27272.312
"Laos","LAO",1979,966
"Laos","LAO",1980,1054
"Laos","LAO",1981,1199
"Laos","LAO",1982,1256
"Laos","LAO",1983,1283
"Laos","LAO",1984,1344
"Laos","LAO",1985,1382
"Laos","LAO",1986,1409
"Laos","LAO",1987,1350
"Laos","LAO",1988,1286
"Laos","LAO",1989,1428
"Laos","LAO",1990,1481
"Laos","LAO",1991,1512.4799
"Laos","LAO",1992,1563.9058
"Laos","LAO",1993,1622.5546
"Laos","LAO",1994,1718.1158
"Laos","LAO",1995,1801.5441
"Laos","LAO",1996,1899.8959
"Laos","LAO",1997,2002.236
"Laos","LAO",1998,2050.8838
"Laos","LAO",1999,2167.7795
"Laos","LAO",2000,2262.2356
"Laos","LAO",2001,2365.1033
"Laos","LAO",2002,2486.9893
"Laos","LAO",2003,2625.3481
"Laos","LAO",2004,2784.6802
"Laos","LAO",2005,2948.6997
"Laos","LAO",2006,2896.1355
"Laos","LAO",2007,3389.364
"Laos","LAO",2008,3614.4768
"Laos","LAO",2009,3843.8298
"Laos","LAO",2010,4114.0103
"Laos","LAO",2011,4401
"Laos","LAO",2012,4670
"Laos","LAO",2013,4961
"Laos","LAO",2014,5251
"Laos","LAO",2015,5559
"Laos","LAO",2016,5859.663
"Laos","LAO",2017,6168.1704
"Laos","LAO",2018,6454.778
"Laos","LAO",2019,6706.0063
"North Korea","PRK",1990,2455.8186
"North Korea","PRK",1991,2315.959
"North Korea","PRK",1992,2120.5461
"North Korea","PRK",1993,1996.2933
"North Korea","PRK",1994,1925.956
"North Korea","PRK",1995,1816.009
"North Korea","PRK",1996,1733.0995
"North Korea","PRK",1997,1604.8995
"North Korea","PRK",1998,1579.9309
"North Korea","PRK",1999,1664.6421
"North Korea","PRK",2000,1657.1444
"North Korea","PRK",2001,1704.3733
"North Korea","PRK",2002,1710.9496
"North Korea","PRK",2003,1729.6221
"North Korea","PRK",2004,1753.6919
"North Korea","PRK",2005,1808.0618
"North Korea","PRK",2006,1778.4956
"North Korea","PRK",2007,1746.9276
"North Korea","PRK",2008,1794.6573
"North Korea","PRK",2009,1768.8898
"North Korea","PRK",2010,1751.4363
"North Korea","PRK",2011,1756.6108
"North Korea","PRK",2012,1770.9209
"North Korea","PRK",2013,1781.3009
"North Korea","PRK",2014,1791.3436
"North Korea","PRK",2015,1762.5167
"North Korea","PRK",2016,1821.212
"North Korea","PRK",2017,1749.0596
"North Korea","PRK",2018,1668.5446
"North Korea","PRK",2019,1666.8143
"Poland","POL",1979,9471
"Poland","POL",1980,9149
"Poland","POL",1981,8584
"Poland","POL",1982,8429
"Poland","POL",1983,8764
"Poland","POL",1984,9006
"Poland","POL",1985,9022
"Poland","POL",1986,9240
"Poland","POL",1987,9059
"Poland","POL",1988,9228
"Poland","POL",1989,9060
"Poland","POL",1990,8150
"Poland","POL",1991,7625.843
"Poland","POL",1992,7873.925
"Poland","POL",1993,8229.529
"Poland","POL",1994,8721.827
"Poland","POL",1995,9408.274
"Poland","POL",1996,10066.171
"Poland","POL",1997,10811.274
"Poland","POL",1998,11413.256
"Poland","POL",1999,12058.42
"Poland","POL",2000,12732.167
"Poland","POL",2001,13017.584
"Poland","POL",2002,13415.571
"Poland","POL",2003,14035.637
"Poland","POL",2004,14906.094
"Poland","POL",2005,15580.937
"Poland","POL",2006,16711.447
"Poland","POL",2007,18067.428
"Poland","POL",2008,19011.547
"Poland","POL",2009,19718.465
"Poland","POL",2010,20608.693
"Poland","POL",2011,21837
"Poland","POL",2012,22169.826
"Poland","POL",2013,22378.305
"Poland","POL",2014,23247.818
"Poland","POL",2015,24285.14
"Poland","POL",2016,25020.621
"Poland","POL",2017,26310.113
"Poland","POL",2018,27880.836
"Poland","POL",2019,29142.023
"Romania","ROU",1979,6612.0225
"Romania","ROU",1980,6591.6367
"Romania","ROU",1981,6514.127
"Romania","ROU",1982,6490.4365
"Romania","ROU",1983,6418.194
"Romania","ROU",1984,6659.454
"Romania","ROU",1985,6628.6064
"Romania","ROU",1986,6718.445
"Romania","ROU",1987,6551.899
"Romania","ROU",1988,6511.956
"Romania","ROU",1989,6281.1543
"Romania","ROU",1990,5596
"Romania","ROU",1991,5033.141
"Romania","ROU",1992,4818.304
"Romania","ROU",1993,5055.917
"Romania","ROU",1994,5427.071
"Romania","ROU",1995,6014.69
"Romania","ROU",1996,6476.4746
"Romania","ROU",1997,6446.418
"Romania","ROU",1998,6407.467
"Romania","ROU",1999,6613.933
"Romania","ROU",2000,7089.9463
"Romania","ROU",2001,7860.4434
"Romania","ROU",2002,8673.619
"Romania","ROU",2003,9369.233
"Romania","ROU",2004,10531.172
"Romania","ROU",2005,11313.822
"Romania","ROU",2006,12823.231
"Romania","ROU",2007,14418.83
"Romania","ROU",2008,16347.344
"Romania","ROU",2009,15866.127
"Romania","ROU",2010,16377.328
"Romania","ROU",2011,17174
"Romania","ROU",2012,17580.932
"Romania","ROU",2013,17691.443
"Romania","ROU",2014,18487.26
"Romania","ROU",2015,19162.186
"Romania","ROU",2016,19825.604
"Romania","ROU",2017,23003.695
"Romania","ROU",2018,24000.455
"Romania","ROU",2019,23267.516
"Russia","RUS",1979,11867
"Russia","RUS",1980,12204
"Russia","RUS",1981,12274
"Russia","RUS",1982,12267
"Russia","RUS",1983,12420
"Russia","RUS",1984,12379
"Russia","RUS",1985,12475
"Russia","RUS",1986,12694
"Russia","RUS",1987,12597
"Russia","RUS",1988,12720
"Russia","RUS",1989,12766
"Russia","RUS",1990,12400
"Russia","RUS",1991,12012.235
"Russia","RUS",1992,10487.548
"Russia","RUS",1993,9789.066
"Russia","RUS",1994,8743.747
"Russia","RUS",1995,8586.323
"Russia","RUS",1996,8479.381
"Russia","RUS",1997,8813.35
"Russia","RUS",1998,8557.495
"Russia","RUS",1999,9340.029
"Russia","RUS",2000,10552.885
"Russia","RUS",2001,11391.194
"Russia","RUS",2002,12259.477
"Russia","RUS",2003,13521.239
"Russia","RUS",2004,14880.979
"Russia","RUS",2005,16243.101
"Russia","RUS",2006,18008.336
"Russia","RUS",2007,20018.123
"Russia","RUS",2008,21563.463
"Russia","RUS",2009,20335.559
"Russia","RUS",2010,21737.385
"Russia","RUS",2011,23130
"Russia","RUS",2012,24020.31
"Russia","RUS",2013,24389.973
"Russia","RUS",2014,24135.035
"Russia","RUS",2015,23607.953
"Russia","RUS",2016,23610.37
"Russia","RUS",2017,24013.967
"Russia","RUS",2018,24690.082
"Russia","RUS",2019,25244.12
"Vietnam","VNM",1979,1267
"Vietnam","VNM",1980,1207
"Vietnam","VNM",1981,1223
"Vietnam","VNM",1982,1293
"Vietnam","VNM",1983,1333
"Vietnam","VNM",1984,1420
"Vietnam","VNM",1985,1471
"Vietnam","VNM",1986,1481
"Vietnam","VNM",1987,1500
"Vietnam","VNM",1988,1556
"Vietnam","VNM",1989,1588
"Vietnam","VNM",1990,1634
"Vietnam","VNM",1991,1688.1599
"Vietnam","VNM",1992,1792.6708
"Vietnam","VNM",1993,1894.8586
"Vietnam","VNM",1994,2018.3507
"Vietnam","VNM",1995,2167.042
"Vietnam","VNM",1996,2323.0464
"Vietnam","VNM",1997,2466.8735
"Vietnam","VNM",1998,2564.2844
"Vietnam","VNM",1999,2641.3484
"Vietnam","VNM",2000,2773.1016
"Vietnam","VNM",2001,2915.686
"Vietnam","VNM",2002,3070.6934
"Vietnam","VNM",2003,3242.2854
"Vietnam","VNM",2004,3437.6643
"Vietnam","VNM",2005,3637.6565
"Vietnam","VNM",2006,3828.9077
"Vietnam","VNM",2007,4037.233
"Vietnam","VNM",2008,4200.2354
"Vietnam","VNM",2009,4360.0615
"Vietnam","VNM",2010,4571.8486
"Vietnam","VNM",2011,4786
"Vietnam","VNM",2012,4987.9644
"Vietnam","VNM",2013,5199.779
"Vietnam","VNM",2014,5465.4834
"Vietnam","VNM",2015,5776.465
"Vietnam","VNM",2016,6089.623
"Vietnam","VNM",2017,6437.739
"Vietnam","VNM",2018,6842.1387
"Vietnam","VNM",2019,7266.0483
